date,picks,wins,losses,pushes,win_pct,avg_brain_score
2026-03-21,20,10,10,0,50,2.83
2026-03-20,32,19,13,0,59.4,4.85
2026-03-19,32,16,15,1,51.6,4.29
2026-03-18,20,10,9,1,52.6,4.04
2026-03-17,20,10,9,1,52.6,3.56
2026-03-14,42,17,22,3,43.6,3.89
2026-03-13,68,38,29,1,56.7,4.65
2026-03-12,88,45,41,2,52.3,4.21
2026-03-11,76,32,43,1,42.7,4.85
2026-03-10,48,25,22,1,53.2,3.94
2026-03-09,26,11,13,2,45.8,4.59
2026-03-08,28,14,12,2,53.8,3.79
2026-03-07,152,68,78,6,46.6,4.06
2026-03-06,48,24,21,3,53.3,3.87
2026-03-05,78,36,39,3,48,3.29
