rank,date,game_id,team_name,homeAway,market_team_total,bet,pred_team_total,recency_team_pred,elo_sim_team_pred,team_edge,recency_edge_team,brain_score,team_elo,opp_elo,elo_diff
1,2026-03-21,401856532,Saint Louis Billikens,away,74.5,OVER,81.5,86,69.5,7.099203056386216,11.489614898739944,8.9,1646.5786890676047,1720.2186562073632,198.3387006280941
2,2026-03-21,401856531,Louisville Cardinals,away,73,OVER,78.5,78,73.5,5.485942829549245,4.772679752239355,5.2,1609.2169848368092,1623.8246570665185,24.427442804976636
3,2026-03-21,401856536,Arkansas Razorbacks,home,90,OVER,97.5,92,70.5,7.2780018481012405,1.9585408422008754,5.2,1620.057107533149,1672.815347734734,-27.500110988631377
4,2026-03-21,401856533,Illinois Fighting Illini,home,81.5,UNDER,77,85,77,-4.414098492067268,3.5098221989049705,4.1,1659.8465059112211,1646.8762795983732,44.852013639465895
5,2026-03-21,401856537,Gonzaga Bulldogs,home,77,OVER,81.5,80.5,78.5,4.326340244623637,3.6856708634198014,4.1,1689.3425672904466,1572.3718434216617,200.96949887360756
6,2026-03-21,401856531,Michigan State Spartans,home,77.5,OVER,83.5,79,74.5,5.778459281913925,1.3706956290121326,4,1623.8246570665185,1609.2169848368092,24.427442804976636
7,2026-03-21,401858350,UNC Wilmington Seahawks,home,68.5,OVER,70,75,75.5,1.570712554964615,6.67471400316272,3.6,1638.7029717652292,1613.549226884851,-29.377641476409735
8,2026-03-21,401858349,Nevada Wolf Pack,home,77.5,OVER,82,70.5,74.5,4.31892700535613,-6.842365505107779,2.9,1580.043861026102,1609.4688271956263,-16.27846258025488
9,2026-03-21,401856536,High Point Panthers,away,79,UNDER,75.5,87.5,77,-3.3708391753590234,8.677540924241242,2.5,1672.815347734734,1620.057107533149,-27.500110988631377
10,2026-03-21,401858349,Liberty Flames,away,70,UNDER,67,76.5,75,-3.116542191742596,6.5257802431140135,2.2,1609.4688271956263,1580.043861026102,-16.27846258025488
11,2026-03-21,401856530,TCU Horned Frogs,away,64.5,UNDER,63,67.5,72,-1.1425454523678695,3.1300251330522144,1.9,1602.9765421853012,1728.4764284033015,285.34842166722774
12,2026-03-21,401856535,Texas A&M Aggies,away,66.5,UNDER,64,75.5,74.5,-2.350473211706131,8.94653049421892,1.9,1585.97171431687,1656.2941144125257,153.7979855125261
13,2026-03-21,401856534,Vanderbilt Commodores,away,75.5,UNDER,74,77,77,-1.7355447417229897,1.5744524384939211,1.7,1632.5049410587335,1633.9940350845943,-108.87293543486749
14,2026-03-21,401858350,Dayton Flyers,away,71,OVER,71.5,74.5,73,0.4902090249938311,3.5857771688372537,1.7,1613.549226884851,1638.7029717652292,-29.377641476409735
15,2026-03-21,401856534,Nebraska Cornhuskers,home,73,UNDER,71,74.5,74,-1.798631918279284,1.403617220217896,1.6,1633.9940350845943,1632.5049410587335,-108.87293543486749
16,2026-03-21,401856535,Houston Cougars,home,76,OVER,76,79,78.5,0.015882076484842855,2.9822400488903753,1.2,1656.2941144125257,1585.97171431687,153.7979855125261
17,2026-03-21,401856530,Duke Blue Devils,home,75.5,UNDER,74.5,77,77,-0.6294177455145018,1.8340491391402622,1.1,1728.4764284033015,1602.9765421853012,285.34842166722774
18,2026-03-21,401856533,VCU Rams,away,71,UNDER,70,82.5,75.5,-0.6306078576609053,11.868235681421794,1,1646.8762795983732,1659.8465059112211,44.852013639465895
19,2026-03-21,401856532,Michigan Wolverines,home,87,UNDER,86.5,85.5,73.5,-0.3766674426333765,-1.7260250321979527,0.9,1720.2186562073632,1646.5786890676047,198.3387006280941
20,2026-03-21,401856537,Texas Longhorns,away,71.5,OVER,71.5,73.5,71,0.10533747168368279,2.063580326138208,0.9,1572.3718434216617,1689.3425672904466,200.96949887360756
