run_time,game_id,away_team,home_team,market_total,market_spread_home
2026-03-18T01:56:04,401856479,TCU Horned Frogs,Ohio State Buckeyes,146.25,-2.5
2026-03-18T01:56:04,401856489,Troy Trojans,Nebraska Cornhuskers,137.5,-13
2026-03-18T01:56:04,401856482,South Florida Bulls,Louisville Cardinals,165,-5
2026-03-18T01:56:04,401856480,High Point Panthers,Wisconsin Badgers,164.5,-10
2026-03-18T01:56:04,401856478,Siena Saints,Duke Blue Devils,135.75,-28.25
2026-03-18T01:56:04,401856488,McNeese Cowboys,Vanderbilt Commodores,150.25,-11.5
2026-03-18T01:56:04,401856483,North Dakota State Bison,Michigan State Spartans,143.5,-16
2026-03-18T01:56:04,401856481,Hawai'i Rainbow Warriors,Arkansas Razorbacks,160,-15.5
2026-03-18T01:56:04,401856490,VCU Rams,North Carolina Tar Heels,153.5,-2.5
2026-03-18T01:56:04,401856486,Howard Bison,Michigan Wolverines,151,-31.5
2026-03-18T01:56:04,401856484,Texas Longhorns,BYU Cougars,158.75,-2
2026-03-18T01:56:04,401856492,Texas A&M Aggies,Saint Mary's Gaels,147.25,-3
2026-03-18T01:56:04,401856491,Pennsylvania Quakers,Illinois Fighting Illini,150.5,-24.5
2026-03-18T01:56:04,401856487,Saint Louis Billikens,Georgia Bulldogs,169.5,-2
2026-03-18T01:56:04,401856485,Kennesaw State Owls,Gonzaga Bulldogs,154.25,-20.5
2026-03-18T01:56:04,401856493,Idaho Vandals,Houston Cougars,136.25,-23.5
